"uniqueid","path","text_body","answer_type","question_type","mark_scheme","needs_context","exam","subject","section","topic","order","marks","parent_id","is_root","reference_code","subtopic","level","paper","command_term"
"bio2025_3764088","A. Unity and diversity > A2.3. Viruses (HL only) > A2.3.2. Diversity of structure in viruses","<p>The fibres seen on the surface are a distinctive feature of this virus. List two other differences in structure that may occur between viruses.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>presence of envelope;</li>
<li>genetic material can be DNA or RNA;</li>
<li>presence of enzymes;</li>
<li>different shapes/ rounded or elongated shapes;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.3. Viruses (HL only)","1b","2","","FALSE","EXEX.1B.HL.TZ0.1b","A2.3.2. Diversity of structure in viruses","hl","1B","List"
"bio2025_9056760","A. Unity and diversity > A2.3. Viruses (HL only) > A2.3.2. Diversity of structure in viruses","<p>The fibres seen on the surface are a distinctive feature of this virus. List two other differences in structure that may occur between viruses.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>presence of envelope;</li>
<li>genetic material can be DNA or RNA;</li>
<li>presence of enzymes;</li>
<li>different shapes/ rounded or elongated shapes;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.3. Viruses (HL only)","1b","2","","FALSE","EXEX.1B.HL.TZ0.1b","A2.3.2. Diversity of structure in viruses","hl","1B","List"
"bio2025_9056802","A. Unity and diversity > A2.3. Viruses (HL only) > A2.3.2. Diversity of structure in viruses","<p>The fibres seen on the surface are a distinctive feature of this virus. List two other differences in structure that may occur between viruses.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>presence of envelope;</li>
<li>genetic material can be DNA or RNA;</li>
<li>presence of enzymes;</li>
<li>different shapes/ rounded or elongated shapes;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.3. Viruses (HL only)","1b","2","","FALSE","EXEX.1B.HL.TZ0.1b","A2.3.2. Diversity of structure in viruses","hl","1B","List"
"bio2025_9066118","A. Unity and diversity > A2.3. Viruses (HL only) > A2.3.2. Diversity of structure in viruses","<p>The fibres seen on the surface are a distinctive feature of this virus. List two other differences in structure that may occur between viruses.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>presence of envelope;</li>
<li>genetic material can be DNA or RNA;</li>
<li>presence of enzymes;</li>
<li>different shapes/ rounded or elongated shapes;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.3. Viruses (HL only)","1b","2","","FALSE","EXEX.1B.HL.TZ0.1b","A2.3.2. Diversity of structure in viruses","hl","1B","List"
"bio2025_9066123","A. Unity and diversity > A2.3. Viruses (HL only) > A2.3.2. Diversity of structure in viruses","<p>The fibres seen on the surface are a distinctive feature of this virus. List two other differences in structure that may occur between viruses.</p>","structured","SFA","<ol style=""list-style-type:lower-alpha;"">
<li>presence of envelope;</li>
<li>genetic material can be DNA or RNA;</li>
<li>presence of enzymes;</li>
<li>different shapes/ rounded or elongated shapes;</li>
</ol>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.3. Viruses (HL only)","b","2","","FALSE","EXEX.1B.HL.TZ0.b","A2.3.2. Diversity of structure in viruses","hl","1B","List"
"bio2025_3763729","A. Unity and diversity > A2.2. Cell structure > A2.2.10. Cell types and cell structures viewed in light and electron micrographs","<p>From the electron micrograph, suggest which viral particle P or Q is likely to have already infected a host cell.</p>","structured","SFA","<p>viral particle Q<strong><br/><em>AND</em></strong> <br/>has no contents/genetic material (as it has been inserted in the host cell) <strong>Â </strong></p>
<p><strong>OR</strong> Â <br/>the capsid/ envelope/protein coat is open/cut showing that its contents have been inserted into the host (cell); Â </p>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.2. Cell structure","1aiii","1","","FALSE","EXEX.1B.HL.TZ0.1aiii","A2.2.10. Cell types and cell structures viewed in light and electron micrographs","hl","1B","Suggest"
"bio2025_9056759","A. Unity and diversity > A2.2. Cell structure > A2.2.10. Cell types and cell structures viewed in light and electron micrographs","<p>From the electron micrograph, suggest which viral particle P or Q is likely to have already infected a host cell.</p>","structured","SFA","<p>viral particle Q<strong><br/><em>AND</em></strong> <br/>has no contents/genetic material (as it has been inserted in the host cell) <strong>Â </strong></p>
<p><strong>OR</strong> Â <br/>the capsid/ envelope/protein coat is open/cut showing that its contents have been inserted into the host (cell); Â </p>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.2. Cell structure","1aiii","1","","FALSE","EXEX.1B.HL.TZ0.1aiii","A2.2.10. Cell types and cell structures viewed in light and electron micrographs","hl","1B","Suggest"
"bio2025_9056801","A. Unity and diversity > A2.2. Cell structure > A2.2.10. Cell types and cell structures viewed in light and electron micrographs","<p>From the electron micrograph, suggest which viral particle P or Q is likely to have already infected a host cell.</p>","structured","SFA","<p>viral particle Q<strong><br/><em>AND</em></strong> <br/>has no contents/genetic material (as it has been inserted in the host cell) <strong>Â </strong></p>
<p><strong>OR</strong> Â <br/>the capsid/ envelope/protein coat is open/cut showing that its contents have been inserted into the host (cell); Â </p>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.2. Cell structure","1aiii","1","","FALSE","EXEX.1B.HL.TZ0.1aiii","A2.2.10. Cell types and cell structures viewed in light and electron micrographs","hl","1B","Suggest"
"bio2025_9066117","A. Unity and diversity > A2.2. Cell structure > A2.2.10. Cell types and cell structures viewed in light and electron micrographs","<p>From the electron micrograph, suggest which viral particle P or Q is likely to have already infected a host cell.</p>","structured","SFA","<p>viral particle Q<strong><br/><em>AND</em></strong> <br/>has no contents/genetic material (as it has been inserted in the host cell) <strong>Â </strong></p>
<p><strong>OR</strong> Â <br/>the capsid/ envelope/protein coat is open/cut showing that its contents have been inserted into the host (cell); Â </p>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.2. Cell structure","1aiii","1","","FALSE","EXEX.1B.HL.TZ0.1aiii","A2.2.10. Cell types and cell structures viewed in light and electron micrographs","hl","1B","Suggest"
"bio2025_9066122","A. Unity and diversity > A2.2. Cell structure > A2.2.10. Cell types and cell structures viewed in light and electron micrographs","<p>From the electron micrograph, suggest which viral particle P or Q is likely to have already infected a host cell.</p>","structured","SFA","<p>viral particle Q<strong><br/><em>AND</em></strong> <br/>has no contents/genetic material (as it has been inserted in the host cell) <strong>Â </strong></p>
<p><strong>OR</strong> Â <br/>the capsid/ envelope/protein coat is open/cut showing that its contents have been inserted into the host (cell); Â </p>","TRUE","Example questions Example questions","DP Biology (first assessment 2025)","A. Unity and diversity","A2.2. Cell structure","iii","1","","FALSE","EXEX.1B.HL.TZ0.iii","A2.2.10. Cell types and cell structures viewed in light and electron micrographs","hl","1B","Suggest"
