subject,topic,subtopic,question_index,sub_index,question_type,question_text,option_a,option_b,option_c,option_d,correct_option,markscheme,marks,image_path,difficulty,year,paper,notes
Biology,Cell Biology,Cell Structure,1,,MCQ,"Which organelle is responsible for producing ATP through aerobic respiration?","Nucleus","Mitochondria","Ribosome","Golgi apparatus",B,"The <b>mitochondria</b> is responsible for ATP production through aerobic respiration (oxidative phosphorylation). [1]",1,,Easy,2023,P1,
Biology,Cell Biology,Cell Membrane,2,,MCQ,"The cell membrane is described as a 'fluid mosaic model'. What does 'fluid' refer to in this context?","The membrane can dissolve in water","Phospholipids can move laterally within the bilayer","The membrane allows water to pass freely","Proteins float on the outer surface only",B,"'Fluid' refers to the ability of <b>phospholipids to move laterally</b> within the bilayer, giving the membrane flexibility. [1]",1,,Easy,2023,P1,
Biology,Cell Biology,Cell Division,3,,Long Answer,"Describe the stages of mitosis and explain the significance of each stage for the production of genetically identical daughter cells.",,,,,,,"Award marks for the following points:<br>• <b>Prophase</b>: chromosomes condense and become visible; nuclear envelope breaks down; spindle fibres form [1]<br>• <b>Metaphase</b>: chromosomes align at the metaphase plate (equator); spindle fibres attach to centromeres [1]<br>• <b>Anaphase</b>: sister chromatids are pulled to opposite poles by shortening spindle fibres [1]<br>• <b>Telophase</b>: nuclear envelopes reform around each set of chromosomes; chromosomes decondense [1]<br>• <b>Cytokinesis</b>: cytoplasm divides to produce two genetically identical daughter cells [1]<br>• Each stage ensures equal distribution of genetic material, resulting in daughter cells with the same chromosome number and DNA sequence as the parent cell [1]",6,,Medium,2023,P2,
Biology,Genetics,DNA Structure,4,a,Short Answer,"State <b>three</b> differences between DNA and RNA.",,,,,,,"Any three of the following [1 each]:<br>• DNA is double-stranded; RNA is single-stranded<br>• DNA contains deoxyribose sugar; RNA contains ribose sugar<br>• DNA contains thymine (T); RNA contains uracil (U)<br>• DNA is found mainly in the nucleus; RNA is found in cytoplasm and nucleus<br>• DNA is longer/larger; RNA is shorter/smaller",3,,Medium,2022,P2,
Biology,Genetics,DNA Replication,4,b,Short Answer,"Outline the role of the following enzymes in DNA replication: (i) helicase, (ii) DNA polymerase.",,,,,,,"(i) <b>Helicase</b>: unwinds the double helix and breaks hydrogen bonds between complementary base pairs, separating the two strands [1]<br>(ii) <b>DNA polymerase</b>: adds complementary nucleotides in the 5' to 3' direction along each template strand; joins nucleotides by phosphodiester bonds [1]<br>Accept: proofreads newly synthesised DNA [1]",2,,Medium,2022,P2,
Biology,Genetics,Inheritance,5,,MCQ,"In pea plants, round seed shape (R) is dominant over wrinkled (r). A cross is made between two heterozygous plants (Rr × Rr). What proportion of offspring will have wrinkled seeds?","1/4","1/2","3/4","0",A,"From a Rr × Rr cross, the genotype ratio is 1 RR : 2 Rr : 1 rr. Only <b>rr (1/4)</b> will show the wrinkled phenotype as wrinkled is recessive. [1]",1,,Easy,2022,P1,
Biology,Genetics,Protein Synthesis,6,,Long Answer,"Explain the process of translation, including the roles of mRNA, tRNA, and ribosomes.",,,,,,,"Award marks for the following points:<br>• mRNA (messenger RNA) carries the <b>genetic code</b> from the nucleus to the ribosome as a sequence of codons (triplets of bases) [1]<br>• Ribosome binds to the <b>start codon</b> (AUG) on mRNA [1]<br>• tRNA molecules carry specific <b>amino acids</b>; each tRNA has an anticodon complementary to a mRNA codon [1]<br>• tRNA anticodon base-pairs with complementary mRNA codon at the ribosome A-site [1]<br>• <b>Peptide bonds</b> form between adjacent amino acids; ribosome moves along mRNA in 5'→3' direction [1]<br>• Process continues until a <b>stop codon</b> is reached; polypeptide chain is released [1]",6,,Hard,2023,P2,
Biology,Ecology,Food Webs,7,,MCQ,"In a food web, which organisms are always found at the base (first trophic level)?","Herbivores","Carnivores","Producers (autotrophs)","Decomposers",C,"<b>Producers (autotrophs)</b> such as plants and algae are always at the base of food webs. They convert light energy into chemical energy via photosynthesis. [1]",1,,Easy,2021,P1,
Biology,Ecology,Energy Flow,8,,Short Answer,"Explain why energy transfer between trophic levels is inefficient. State the approximate percentage of energy transferred.",,,,,,,"Only approximately <b>10%</b> of energy is transferred between trophic levels [1]<br>Energy is lost as:<br>• <b>Heat</b> from cellular respiration [1]<br>• Material in faeces/urine that is not absorbed [1]<br>• Accept: energy used in movement/other metabolic processes [1]",3,,Medium,2022,P2,
Biology,Ecology,Ecosystems,9,,Long Answer,"Compare and contrast <i>abiotic</i> and <i>biotic</i> factors that affect population size in an ecosystem. Give two examples of each.",,,,,,,"<b>Abiotic factors</b> (non-living/physical environmental factors):<br>• Examples: temperature, rainfall, light intensity, soil pH, salinity, wind [1 for any two]<br>• Affect population by influencing survival, reproduction, and resource availability [1]<br><br><b>Biotic factors</b> (living/biological factors):<br>• Examples: predation, competition, disease, parasitism, food availability [1 for any two]<br>• Affect population through interspecific/intraspecific interactions [1]<br><br>Comparison:<br>• Both can limit population growth (limiting factors) [1]<br>• Abiotic factors are density-independent; many biotic factors are density-dependent [1]",6,,Hard,2023,P2,
Biology,Evolution,Natural Selection,10,a,Short Answer,"State the four key observations that Darwin used to develop his theory of natural selection.",,,,,,,"All four required for full marks [1 each]:<br>1. Organisms produce more offspring than can survive (<b>overproduction</b>)<br>2. There is <b>variation</b> in individuals within a population<br>3. Some variations are <b>heritable</b> (passed to offspring)<br>4. Individuals with favourable variations are more likely to <b>survive and reproduce</b> (differential survival/reproduction)",4,,Medium,2021,P2,
Biology,Evolution,Evidence for Evolution,10,b,Long Answer,"Describe <b>three</b> types of evidence that support the theory of evolution.",,,,,,,"Any three [2 marks each, 6 total]:<br><br><b>Fossil record</b>: Fossils show gradual change in organisms over time; transitional fossils link ancestral and descendant forms; older rocks contain simpler organisms [2]<br><br><b>Comparative anatomy</b>: Homologous structures (e.g., pentadactyl limb in vertebrates) show common ancestry despite different functions; vestigial structures show evolutionary relationships [2]<br><br><b>Molecular biology</b>: Similarities in DNA/protein sequences between species indicate common ancestry; more closely related species share more DNA similarities [2]<br><br><b>Biogeography</b>: Distribution of species across continents reflects evolutionary history and continental drift [2]",6,,Hard,2022,P2,
Biology,Biochemistry,Enzymes,11,,MCQ,"An enzyme is denatured at high temperatures. Which statement best explains this?","The active site shape changes permanently due to disruption of hydrogen bonds and other bonds","The enzyme runs out of substrate","The reaction rate decreases because molecules move more slowly","The pH of the solution increases",A,"At high temperatures, <b>hydrogen bonds and other interactions</b> holding the tertiary structure are disrupted, causing the <b>active site to change shape permanently</b> (denaturation). The enzyme can no longer bind substrate. [1]",1,,Medium,2023,P1,
Biology,Biochemistry,Photosynthesis,12,a,Short Answer,"Write the <b>overall equation</b> for photosynthesis using chemical formulae.",,,,,,,"6CO<sub>2</sub> + 6H<sub>2</sub>O → C<sub>6</sub>H<sub>12</sub>O<sub>6</sub> + 6O<sub>2</sub> [1]<br>(light energy must be indicated above the arrow or stated) [1]",2,,Easy,2021,P2,
Biology,Biochemistry,Photosynthesis,12,b,Long Answer,"Explain the light-dependent reactions of photosynthesis, including the products formed.",,,,,,,"Award marks for the following [1 each, max 6]:<br>• Light energy is absorbed by <b>chlorophyll/photosystems</b> in the thylakoid membranes [1]<br>• Water is <b>split (photolysis)</b>: H<sub>2</sub>O → 2H<sup>+</sup> + ½O<sub>2</sub> + 2e<sup>-</sup> [1]<br>• Oxygen is released as a <b>by-product</b> [1]<br>• Excited electrons pass along the <b>electron transport chain</b> [1]<br>• <b>ATP</b> is synthesised by photophosphorylation (chemiosmosis via ATP synthase) [1]<br>• <b>NADPH</b> is produced when electrons reduce NADP<sup>+</sup> [1]<br>• ATP and NADPH are the products that drive the <b>light-independent (Calvin cycle)</b> reactions [1]",6,,Hard,2023,P2,
