subject,topic,subtopic,question_index,sub_index,question_type,question_text,option_a,option_b,option_c,option_d,correct_option,markscheme,marks,image_path,difficulty,year,paper,notes
Chemistry,Atomic Structure,Electron Configuration,1,,MCQ,"What is the electron configuration of a chlorine atom (atomic number 17)?","2, 8, 7","2, 7, 8","2, 8, 8","2, 6, 9",A,"Chlorine has 17 electrons arranged as <b>2, 8, 7</b> (2 in the first shell, 8 in the second, 7 in the third). This makes it one electron short of a full outer shell. [1]",1,,Easy,2023,P1,
Chemistry,Atomic Structure,Isotopes,2,,Short Answer,"Define the term <i>isotope</i> and explain why isotopes of the same element have similar chemical properties but different physical properties.",,,,,,"<b>Isotope</b>: atoms of the same element with the same number of protons but <b>different numbers of neutrons</b> (different mass numbers) [1]<br><br>Same <b>chemical properties</b>: same number of protons → same number of electrons → same electron configuration → same chemical behaviour [1]<br><br>Different <b>physical properties</b>: different numbers of neutrons → different mass → different density, melting point, etc. [1]",3,,Medium,2022,P2,
Chemistry,Bonding,Ionic Bonding,3,,Long Answer,"Describe the formation of an ionic bond between sodium (Na) and chlorine (Cl), and explain the properties of the ionic compound formed.",,,,,,"<b>Bond formation</b>:<br>• Sodium (2,8,1) <b>loses one electron</b> from its outer shell to form Na<sup>+</sup> ion with configuration 2,8 [1]<br>• Chlorine (2,8,7) <b>gains one electron</b> to form Cl<sup>-</sup> ion with configuration 2,8,8 [1]<br>• <b>Electrostatic attraction</b> between oppositely charged ions forms the ionic bond [1]<br><br><b>Properties of NaCl</b>:<br>• <b>High melting/boiling point</b>: strong electrostatic forces between ions require much energy to break [1]<br>• <b>Conducts electricity when molten or dissolved</b>: ions are free to move and carry charge [1]<br>• <b>Does not conduct when solid</b>: ions are fixed in lattice positions [1]<br>• Forms a <b>giant ionic lattice</b> structure [1]",6,,Medium,2023,P2,
Chemistry,Bonding,Covalent vs Ionic,4,,MCQ,"Which of the following substances has a giant covalent (macromolecular) structure?","Sodium chloride (NaCl)","Diamond (C)","Hydrogen gas (H<sub>2</sub>)","Copper (Cu)",B,"<b>Diamond</b> has a giant covalent structure where each carbon atom forms four strong covalent bonds with adjacent carbon atoms in a tetrahedral arrangement, forming a very hard, high-melting-point network solid. [1]",1,,Medium,2022,P1,
Chemistry,Equilibrium,Le Chatelier's Principle,5,a,Short Answer,"State Le Chatelier's Principle.",,,,,,"When a system at equilibrium is subjected to a change (stress), the equilibrium <b>shifts in the direction that tends to counteract (oppose) that change</b>. [1]<br>Accept equivalent statements.",1,,Easy,2022,P2,
Chemistry,Equilibrium,Le Chatelier's Principle,5,b,Long Answer,"For the following equilibrium reaction, predict and explain the effect of: (i) increasing temperature, (ii) increasing pressure, (iii) adding a catalyst.<br><br>N<sub>2</sub>(g) + 3H<sub>2</sub>(g) ⇌ 2NH<sub>3</sub>(g)  ΔH = −92 kJ mol<sup>−1</sup>",,,,,,"(i) <b>Increasing temperature</b>:<br>• Equilibrium shifts to the <b>left</b> (endothermic direction) [1]<br>• Because the forward reaction is exothermic; increasing T favours the endothermic reverse reaction [1]<br>• Yield of NH<sub>3</sub> <b>decreases</b> [1]<br><br>(ii) <b>Increasing pressure</b>:<br>• Equilibrium shifts to the <b>right</b> (fewer moles of gas) [1]<br>• Left side has 4 moles of gas; right side has 2 moles; shift to right reduces pressure [1]<br>• Yield of NH<sub>3</sub> <b>increases</b> [1]<br><br>(iii) <b>Catalyst</b>:<br>• Does <b>not shift</b> the equilibrium position [1]<br>• Increases rate of both forward and reverse reactions equally [1]<br>• Equilibrium is reached more quickly but yield is unchanged [1]",9,,Hard,2023,P2,
Chemistry,Organic Chemistry,Functional Groups,6,,MCQ,"Which functional group is present in all alcohols?","–COOH (carboxyl)","–OH (hydroxyl)","–CHO (aldehyde)","–NH<sub>2</sub> (amino)",B,"All alcohols contain the <b>–OH (hydroxyl) functional group</b> bonded to a carbon atom. This group is responsible for the characteristic properties of alcohols including hydrogen bonding and reaction with sodium. [1]",1,,Easy,2023,P1,
Chemistry,Organic Chemistry,Reactions,7,,Long Answer,"Describe the mechanism of nucleophilic substitution (S<sub>N</sub>2) for the reaction of bromoethane with hydroxide ions. Include a diagram description in your answer.",,,,,,"<b>Mechanism</b>:<br>• OH<sup>-</sup> is the <b>nucleophile</b> (electron-rich species with a lone pair) [1]<br>• OH<sup>-</sup> attacks the <b>δ+ carbon</b> bearing the bromine from the <b>back</b> (opposite side to Br) [1]<br>• A <b>transition state</b> forms with OH partially bonded and Br partially broken [1]<br>• The carbon undergoes <b>inversion of configuration</b> (Walden inversion — umbrella effect) [1]<br>• Br<sup>-</sup> leaves as the <b>leaving group</b> (Br is a good leaving group due to weak C–Br bond) [1]<br>• Product is <b>ethanol (CH<sub>3</sub>CH<sub>2</sub>OH)</b> and Br<sup>-</sup> [1]",6,,Hard,2022,P2,
Chemistry,Thermodynamics,Enthalpy,8,a,Short Answer,"Define <i>standard enthalpy of combustion</i> (ΔH°<sub>c</sub>).",,,,,,"The enthalpy change when <b>one mole</b> of a substance is <b>completely burned in oxygen</b> under standard conditions (298 K, 100 kPa), with all reactants and products in their standard states. [1]<br>Must include: one mole, complete combustion, standard conditions, standard states.",1,,Medium,2022,P2,
Chemistry,Thermodynamics,Enthalpy,8,b,Short Answer,"Calculate the enthalpy change for the reaction C(s) + 2H<sub>2</sub>(g) → CH<sub>4</sub>(g) using the following data:<br>ΔH°<sub>f</sub>[CO<sub>2</sub>(g)] = −393 kJ mol<sup>-1</sup><br>ΔH°<sub>f</sub>[H<sub>2</sub>O(l)] = −286 kJ mol<sup>-1</sup><br>ΔH°<sub>c</sub>[CH<sub>4</sub>(g)] = −890 kJ mol<sup>-1</sup>",,,,,,"Using Hess's law:<br>ΔH°<sub>f</sub>[CH<sub>4</sub>] = ΔH°<sub>c</sub>[C] + 2×ΔH°<sub>c</sub>[H<sub>2</sub>] − ΔH°<sub>c</sub>[CH<sub>4</sub>] [1]<br>= (−393) + 2(−286) − (−890) [1]<br>= −393 − 572 + 890<br>= <b>−75 kJ mol<sup>-1</sup></b> [1]",3,,Hard,2023,P2,
