"subject","topic","subtopic","question_index","sub_index","question_type","question_text","option_a","option_b","option_c","option_d","correct_option","markscheme","marks","image_path","difficulty","year","paper","notes"
"Physics","Mechanics","Newton's Laws","1","","MCQ","A 5 kg box is pushed horizontally on a frictionless surface with a net force of 20 N. What is the acceleration of the box?","4 m s<sup>-2</sup>","25 m s<sup>-2</sup>","100 m s<sup>-2</sup>","0.25 m s<sup>-2</sup>","A","Using Newton's Second Law: <b>F = ma</b><br>a = F/m = 20/5 = <b>4 m s<sup>-2</sup></b> [1]","1","","Easy","2023","P1",""
"Physics","Mechanics","Projectile Motion","2","","Long Answer","A ball is launched horizontally from the top of a cliff 45 m high with an initial horizontal velocity of 15 m s<sup>-1</sup>. Assuming no air resistance and g = 10 m s<sup>-2</sup>, calculate: (a) the time to reach the ground, (b) the horizontal distance travelled, (c) the speed of the ball just before impact.","","","","","","<b>(a) Time to reach ground</b><br>Using s = ut + ½at²: 45 = 0 + ½(10)t² [1]<br>t² = 9 → t = <b>3.0 s</b> [1]<br><br><b>(b) Horizontal distance</b><br>x = v<sub>x</sub> × t = 15 × 3.0 = <b>45 m</b> [1]<br><br><b>(c) Speed at impact</b><br>Vertical velocity: v<sub>y</sub> = u + at = 0 + 10 × 3.0 = 30 m s<sup>-1</sup> [1]<br>Horizontal velocity: v<sub>x</sub> = 15 m s<sup>-1</sup> (unchanged) [1]<br>Speed = √(v<sub>x</sub>² + v<sub>y</sub>²) = √(15² + 30²) = √(225 + 900) = √1125 ≈ <b>33.5 m s<sup>-1</sup></b> [1]","6","","Medium","2023","P2",""
"Physics","Mechanics","Energy Conservation","3","","Short Answer","A 2 kg ball is dropped from rest at a height of 5 m. Using conservation of energy, calculate its speed just before hitting the ground. Take g = 10 m s<sup>-2</sup>.","","","","","","Using conservation of energy: <b>GPE = KE</b><br>mgh = ½mv² [1]<br>v² = 2gh = 2 × 10 × 5 = 100 m<sup>2</sup> s<sup>-2</sup> [1]<br>v = <b>10 m s<sup>-1</sup></b> [1]<br>(Note: mass cancels, so answer is independent of mass)","3","","Easy","2022","P2",""
"Physics","Waves","Wave Properties","4","a","MCQ","A transverse wave has a frequency of 5 Hz and a wavelength of 4 m. What is its speed?","0.8 m s<sup>-1</sup>","9 m s<sup>-1</sup>","20 m s<sup>-1</sup>","1.25 m s<sup>-1</sup>","C","Using the wave equation: <b>v = fλ</b><br>v = 5 × 4 = <b>20 m s<sup>-1</sup></b> [1]","1","","Easy","2023","P1",""
"Physics","Waves","Superposition","4","b","Short Answer","State the principle of superposition of waves and explain the difference between constructive and destructive interference.","","","","","","<b>Principle of Superposition</b>: When two or more waves overlap, the <b>resultant displacement</b> at any point is the <b>algebraic sum</b> of the individual displacements at that point. [1]<br><br><b>Constructive interference</b>: waves are <b>in phase</b> (path difference = nλ); displacements add together to give a larger resultant amplitude [1]<br><br><b>Destructive interference</b>: waves are <b>antiphase</b> (path difference = (n+½)λ); displacements partially or completely cancel [1]","3","","Medium","2022","P2",""
"Physics","Waves","Wave Interference","5","","Long Answer","In a double-slit experiment, light of wavelength 600 nm is incident on two slits separated by 0.5 mm. An interference pattern is observed on a screen 2.0 m away. (a) Calculate the fringe spacing. (b) Describe what would happen to the fringe spacing if the slit separation were doubled.","","","","","","<b>(a) Fringe spacing</b><br>Using: w = λD/d [1]<br>w = (600 × 10<sup>-9</sup> × 2.0) / (0.5 × 10<sup>-3</sup>) [1]<br>w = (1.2 × 10<sup>-6</sup>) / (5 × 10<sup>-4</sup>)<br>w = <b>2.4 × 10<sup>-3</sup> m = 2.4 mm</b> [1]<br><br><b>(b) Doubling slit separation</b>:<br>w ∝ 1/d, so doubling d would <b>halve</b> the fringe spacing [1]<br>New fringe spacing = 2.4/2 = <b>1.2 mm</b> [1]<br>The pattern would have narrower, more closely spaced fringes [1]","6","","Hard","2023","P2",""
"Physics","Electricity","Ohm's Law","6","","MCQ","A resistor has a potential difference of 12 V across it and a current of 0.5 A flowing through it. What is its resistance?","6 Ω","0.04 Ω","24 Ω","6 W","A","Using Ohm's Law: <b>V = IR</b><br>R = V/I = 12/0.5 = <b>24 Ω</b> [1]","1","","Easy","2023","P1",""
"Physics","Electricity","Kirchhoff's Laws","7","","Short Answer","State Kirchhoff's two laws and give the physical principle each is based on.","","","","","","<b>Kirchhoff's First Law (KCL)</b>: The sum of currents entering a junction equals the sum of currents leaving it (ΣI<sub>in</sub> = ΣI<sub>out</sub>) [1]<br>Based on: <b>conservation of charge</b> [1]<br><br><b>Kirchhoff's Second Law (KVL)</b>: The algebraic sum of EMFs around any closed loop equals the algebraic sum of the potential differences (voltage drops) [1]<br>Based on: <b>conservation of energy</b> [1]","4","","Medium","2022","P2",""
"Physics","Electricity","Circuits","8","","Long Answer","Two resistors of resistance 3 Ω and 6 Ω are connected (a) in series and (b) in parallel to a 12 V battery. For each arrangement, calculate the total resistance, total current from the battery, and the power dissipated in the 3 Ω resistor.","","","","","","<b>(a) Series</b><br>Total R = 3 + 6 = <b>9 Ω</b> [1]<br>Total current I = V/R = 12/9 = <b>1.33 A</b> [1]<br>P in 3 Ω = I²R = (1.33)² × 3 = <b>5.33 W</b> [1]<br><br><b>(b) Parallel</b><br>1/R = 1/3 + 1/6 = 2/6 + 1/6 = 3/6 → R = <b>2 Ω</b> [1]<br>Total current I = V/R = 12/2 = <b>6 A</b> [1]<br>V across 3 Ω = 12 V (same in parallel)<br>P in 3 Ω = V²/R = 144/3 = <b>48 W</b> [1]","6","","Hard","2022","P2",""
"Physics","Thermal Physics","Ideal Gas","9","a","Short Answer","State the equation of state for an ideal gas and define each symbol.","","","","","","<b>pV = nRT</b> [1]<br>Where:<br>• p = pressure (Pa or N m<sup>-2</sup>) [1]<br>• V = volume (m<sup>3</sup>)<br>• n = number of moles (mol)<br>• R = molar gas constant = 8.31 J K<sup>-1</sup> mol<sup>-1</sup><br>• T = absolute temperature (K) [1]<br>(accept symbol definitions without units for 1 mark each, max 3)","3","","Medium","2021","P2",""
"Physics","Thermal Physics","Ideal Gas","9","b","Short Answer","A gas occupies a volume of 2.0 × 10<sup>-3</sup> m<sup>3</sup> at a pressure of 1.0 × 10<sup>5</sup> Pa and temperature of 300 K. The gas is compressed to a volume of 5.0 × 10<sup>-4</sup> m<sup>3</sup> at the same temperature. Calculate the new pressure.","","","","","","Using Boyle's Law (constant T): <b>p<sub>1</sub>V<sub>1</sub> = p<sub>2</sub>V<sub>2</sub></b> [1]<br>p<sub>2</sub> = p<sub>1</sub>V<sub>1</sub>/V<sub>2</sub> [1]<br>p<sub>2</sub> = (1.0 × 10<sup>5</sup> × 2.0 × 10<sup>-3</sup>) / (5.0 × 10<sup>-4</sup>)<br>p<sub>2</sub> = <b>4.0 × 10<sup>5</sup> Pa</b> [1]","3","","Medium","2022","P2",""
"Physics","Nuclear Physics","Radioactive Decay","10","","MCQ","Which type of radiation is stopped by a sheet of paper?","Beta (β<sup>-</sup>)","Gamma (γ)","Alpha (α)","Neutron","C","<b>Alpha (α) particles</b> are the most ionising but least penetrating radiation. They are stopped by a few centimetres of air or a sheet of paper. This is because they have a large charge (+2) and mass, causing frequent ionisation. [1]","1","","Easy","2021","P1",""
